TreeID,Mum,Dad,Spacing,Rep,Plot,dj,dm,wd,h1,h2,h3,h4,h5,dis,lt,str
80613,70005,NA,3,1,1,0.34,0.458,0.362,30,101,177,340,530,0,0,0
80615,70005,NA,3,1,3,0.356,0.458,0.369,30,168,277,430,610,1,0,1
80623,70052,NA,3,2,3,0.367,0.432,0.387,45,152,307,500,680,0,0,5
80624,70052,NA,3,2,4,0.349,0.422,0.355,23,90,175,280,470,1,0,3
80625,70047,NA,3,2,1,0.34,0.398,0.351,32,126,202,360,560,0,1,3
80626,70047,NA,3,2,2,0.344,0.429,0.374,22,110,227,300,490,1,1,1
80627,70047,NA,3,2,3,0.351,0.473,0.387,33,116,224,390,590,1,0,4
80629,70025,NA,3,2,1,0.35,0.466,0.365,31,110,240,330,520,1,0,0
80633,70023,NA,3,2,1,0.37,0.478,0.416,34,121,189,320,460,1,0,1
80634,70023,NA,3,2,2,0.351,0.428,0.362,33,122,222,330,530,0,0,1
80635,70023,NA,3,2,3,0.308,0.419,0.327,40,115,239,340,520,0,1,1
80638,70036,NA,3,2,2,0.326,0.386,0.344,32,90,199,340,520,1,0,5
80639,70036,NA,3,2,3,0.341,0.438,0.378,44,110,212,360,480,0,1,1
80640,70036,NA,3,2,4,0.331,0.497,0.37,43,136,227,350,580,1,1,1
80641,70010,NA,3,2,1,0.354,0.47,0.364,23,81,162,300,480,0,1,5
80642,70010,NA,3,2,2,0.32,0.38,0.332,34,122,254,380,600,0,1,3
80643,70010,NA,3,2,3,0.329,0.408,0.34,27,112,214,350,460,0,1,1
80645,70040,NA,3,2,1,0.393,0.456,0.415,39,113,207,350,580,1,0,0
80651,70041,NA,3,2,3,0.37,0.453,0.374,33,135,263,480,660,1,1,5
80652,70041,NA,3,2,4,0.393,0.518,0.422,39,76,284,340,520,1,0,5
80653,70030,NA,3,2,1,0.372,0.549,0.41,29,65,120,220,420,1,1,2
80654,70030,NA,3,2,2,0.326,0.53,0.383,37,95,155,280,490,0,0,2
80656,70030,NA,3,2,4,0.359,0.503,0.398,35,100,221,310,530,1,1,1
80665,70048,NA,3,2,1,0.37,0.471,0.394,28,58,157,320,510,0,1,0
80666,70048,NA,3,2,2,0.381,0.494,0.403,31,90,202,350,560,0,1,4
80667,70048,NA,3,2,3,0.35,0.458,0.386,31,123,261,420,650,0,0,5
80670,70001,NA,3,3,2,0.343,0.471,0.392,30,140,263,420,560,1,0,1
80675,70051,NA,3,3,3,0.322,0.424,0.337,29,120,240,370,570,0,0,2
80676,70051,NA,3,3,4,0.334,0.526,0.41,36,152,293,490,680,1,1,4
80677,70021,NA,3,3,1,0.378,0.473,0.389,39,92,208,320,510,0,0,4
80678,70021,NA,3,3,2,0.354,0.433,0.371,47,153,296,440,660,1,1,4
80680,70021,NA,3,3,4,0.337,0.43,0.353,43,164,340,470,610,1,1,3
80681,70015,NA,3,3,1,0.354,0.47,0.368,31,126,217,350,520,0,1,4
80687,70054,NA,3,3,3,0.35,0.432,0.383,40,148,241,370,600,1,1,0
80689,70044,NA,3,3,1,0.346,0.532,0.364,25,105,203,320,570,1,0,5
80690,70044,NA,3,3,2,0.337,0.402,0.346,34,98,200,360,610,0,1,5
80693,70030,NA,3,3,1,0.326,0.442,0.342,30,106,212,350,540,1,0,3
80696,70030,NA,3,3,4,0.359,0.507,0.392,37,146,270,420,620,1,0,4
80698,70029,NA,3,3,2,0.347,0.441,0.385,34,152,185,470,710,0,1,3
80700,70029,NA,3,3,4,0.352,0.499,0.374,36,115,238,400,590,0,0,5
80702,70037,NA,3,3,2,0.365,0.404,0.378,44,182,290,510,730,1,0,2
80705,70019,NA,3,3,1,0.413,0.414,0.413,44,150,261,480,730,1,0,3
80706,70019,NA,3,3,2,0.347,0.465,0.37,36,175,255,470,730,1,1,5
80708,70019,NA,3,3,4,0.39,0.492,0.425,58,215,379,600,850,1,0,3
80709,70052,NA,3,3,1,0.37,0.495,0.409,39,168,277,520,800,0,1,1
80712,70052,NA,3,3,4,0.342,0.452,0.372,42,151,252,420,620,0,1,5
80713,70055,NA,3,3,1,0.364,0.469,0.393,60,200,319,600,830,1,0,3
80714,70055,NA,3,3,2,0.336,0.444,0.358,55,197,353,590,800,1,0,2
80715,70055,NA,3,3,3,0.369,0.528,0.405,47,152,299,450,730,0,0,3
80716,70055,NA,3,3,4,0.36,0.482,0.387,55,148,238,490,730,1,0,3
80717,70018,NA,3,4,1,0.39,0.452,0.397,40,156,289,550,760,0,1,3
80719,70018,NA,3,4,3,0.325,0.398,0.341,36,158,281,450,670,1,0,1
80721,70033,NA,3,4,1,0.362,0.451,0.375,37,152,232,420,620,1,1,2
80724,70033,NA,3,4,4,0.352,0.5,0.363,34,135,230,370,570,1,0,5
80725,70019,NA,3,4,1,0.364,0.47,0.398,37,160,288,460,700,1,1,2
80727,70019,NA,3,4,3,0.373,0.476,0.401,46,150,303,520,690,0,1,0
80730,70038,NA,3,4,2,0.349,0.451,0.375,28,170,311,540,770,1,0,3
80731,70038,NA,3,4,3,0.351,0.489,0.363,31,145,238,400,600,1,0,2
80732,70038,NA,3,4,4,0.344,0.499,0.365,26,140,252,430,640,1,0,3
80735,70060,NA,3,4,3,0.384,0.513,0.431,36,145,254,490,690,1,1,4
80736,70060,NA,3,4,4,0.385,0.475,0.411,53,217,326,590,810,1,0,1
80737,70044,NA,3,4,1,0.378,0.509,0.39,27,105,199,350,580,1,0,5
80738,70044,NA,3,4,2,0.371,0.441,0.406,33,140,262,520,650,1,1,5
80742,70008,NA,3,4,2,0.419,0.493,0.451,37,124,226,440,640,0,0,4
80743,70008,NA,3,4,3,0.405,0.499,0.438,37,103,200,380,570,1,1,5
80744,70008,NA,3,4,4,0.414,0.547,0.444,40,136,254,420,580,0,0,3
80747,70056,NA,3,4,3,0.388,0.476,0.402,34,107,183,340,510,0,1,5
80748,70056,NA,3,4,4,0.378,0.486,0.412,27,100,160,290,470,1,0,1
80750,70048,NA,3,4,2,0.361,0.414,0.384,46,166,275,500,680,0,0,4
80751,70048,NA,3,4,3,0.407,0.494,0.423,35,128,214,430,600,1,1,3
80752,70048,NA,3,4,4,0.397,0.439,0.422,46,148,247,440,630,0,1,3
80753,70016,NA,3,4,1,0.388,0.473,0.396,36,121,239,430,630,0,1,4
80755,70016,NA,3,4,3,0.365,0.519,0.404,43,159,234,420,590,1,1,0
80756,70016,NA,3,4,4,0.385,0.49,0.426,45,155,243,500,660,1,0,3
80758,70022,NA,3,4,2,0.365,0.445,0.406,54,170,269,500,680,0,0,3
80760,70022,NA,3,4,4,0.361,0.464,0.399,32,120,233,380,570,1,1,5
80762,70023,NA,3,4,2,0.401,0.512,0.429,38,149,304,490,630,0,1,4
80764,70023,NA,3,4,4,0.384,0.429,0.404,43,127,217,420,580,1,1,4
80765,70054,NA,3,4,1,0.417,0.473,0.45,43,142,203,400,580,1,0,4
80767,70054,NA,3,4,3,0.399,0.407,0.403,39,125,229,400,570,1,0,2
80769,70009,NA,3,1,1,0.331,0.423,0.349,30,100,214,300,460,1,0,5
80771,70009,NA,3,1,3,0.348,0.461,0.369,35,141,275,400,600,1,0,2
80772,70009,NA,3,1,4,0.349,0.383,0.357,36,106,228,340,520,1,1,1
80777,70030,NA,3,1,1,0.378,0.515,0.393,32,116,225,370,530,0,1,1
80781,70055,NA,3,1,1,0.37,0.421,0.383,53,139,213,430,670,0,0,3
80782,70055,NA,3,1,2,0.352,0.502,0.373,25,96,179,300,460,1,0,0
80783,70055,NA,3,1,3,0.347,0.401,0.376,50,167,317,470,680,0,0,4
80784,70055,NA,3,1,4,0.368,0.369,0.368,52,155,298,450,650,0,1,5
80795,70011,NA,3,1,3,0.336,0.497,0.378,32,170,264,380,580,0,1,4
80797,70027,NA,3,1,1,0.367,0.417,0.369,37,150,295,400,520,0,1,2
80798,70027,NA,3,1,2,0.373,0.433,0.378,50,157,260,360,480,1,0,1
80800,70027,NA,3,1,4,0.364,0.494,0.41,52,232,369,490,610,1,1,4
80801,70061,NA,3,1,1,0.345,0.393,0.364,41,107,237,340,520,0,0,2
80802,70061,NA,3,1,2,0.352,0.476,0.363,31,112,218,270,460,1,1,2
80803,70061,NA,3,1,3,0.381,0.41,0.385,46,111,230,300,480,1,1,5
80804,70061,NA,3,1,4,0.354,0.424,0.368,40,118,188,280,490,1,0,5
80806,70021,NA,3,1,2,0.354,0.41,0.369,37,110,211,340,480,0,0,5
80808,70021,NA,3,1,4,0.396,0.444,0.414,40,163,288,450,660,0,0,1
80809,70039,NA,3,1,1,0.325,0.416,0.357,43,132,212,380,580,0,0,2
80813,70024,NA,3,1,1,0.36,0.448,0.373,29,87,163,310,450,0,1,1
80814,70024,NA,3,1,2,0.339,0.446,0.35,29,67,187,320,500,1,1,5
80817,70022,NA,3,2,1,0.345,0.429,0.358,27,93,187,300,530,0,0,1
80820,70022,NA,3,2,4,0.344,0.431,0.354,35,124,239,400,530,1,0,2
80823,70005,NA,3,2,3,0.345,0.439,0.377,35,130,245,410,640,1,0,3
80825,70053,NA,3,2,1,0.339,0.429,0.354,44,130,217,390,640,1,1,5
80830,70028,NA,3,2,2,0.331,0.415,0.338,29,136,228,360,470,0,0,2
80831,70028,NA,3,2,3,0.376,0.47,0.411,26,103,219,360,530,0,0,0
80832,70028,NA,3,2,4,0.348,0.512,0.366,31,112,211,350,520,0,0,0
80836,70060,NA,3,2,4,0.336,0.457,0.342,32,101,189,310,460,0,1,3
80837,70020,NA,3,2,1,0.31,0.441,0.332,33,110,206,320,490,0,1,3
80838,70020,NA,3,2,2,0.36,0.492,0.38,31,95,146,280,480,0,0,2
80840,70020,NA,3,2,4,0.348,0.437,0.36,36,87,175,270,430,0,1,1
80842,70031,NA,3,2,2,0.358,0.402,0.377,30,78,177,320,520,1,0,2
80847,70001,NA,3,2,3,0.358,0.447,0.38,39,116,248,370,530,1,0,3
80849,70055,NA,3,2,1,0.37,0.472,0.392,33,129,221,310,510,1,1,2
80852,70055,NA,3,2,4,0.341,0.425,0.37,42,123,255,390,610,1,0,1
80853,70003,NA,3,2,1,0.351,0.407,0.374,30,115,212,350,520,1,0,1
80854,70003,NA,3,2,2,0.357,0.489,0.38,40,100,191,270,460,1,1,0
80861,70046,NA,3,2,1,0.368,0.447,0.398,32,125,279,NA,NA,0,1,4
80863,70046,NA,3,2,3,0.422,0.482,0.432,30,114,195,NA,NA,1,1,2
80864,70046,NA,3,2,4,0.369,0.44,0.389,39,103,209,NA,NA,1,0,5
80867,70017,NA,3,3,3,0.357,0.466,0.379,32,82,203,330,610,0,1,2
80869,70004,NA,3,3,1,0.324,0.403,0.335,50,147,261,410,610,1,0,1
80870,70004,NA,3,3,2,0.352,0.447,0.395,44,191,343,510,720,1,0,1
80871,70004,NA,3,3,3,0.346,0.454,0.373,33,136,290,430,590,1,0,3
80872,70004,NA,3,3,4,0.351,0.414,0.373,22,94,195,320,530,1,0,5
80873,70011,NA,3,3,1,0.37,0.455,0.394,42,193,341,520,740,1,1,3
80874,70011,NA,3,3,2,0.369,0.464,0.4,38,142,278,440,610,0,0,5
80876,70011,NA,3,3,4,0.373,0.44,0.387,30,150,324,420,660,1,1,1
80879,70061,NA,3,3,3,0.337,0.392,0.354,39,163,275,420,590,1,0,4
80881,70012,NA,3,3,1,0.332,0.462,0.373,50,207,342,470,650,0,1,3
80883,70012,NA,3,3,3,0.345,0.442,0.364,44,177,314,500,670,1,1,3
80885,70003,NA,3,3,1,0.343,0.38,0.358,28,144,270,460,690,1,0,5
80888,70003,NA,3,3,4,0.352,0.469,0.387,36,134,294,420,600,0,1,0
80889,70053,NA,3,3,1,0.379,0.462,0.417,35,140,296,460,750,1,0,4
80890,70053,NA,3,3,2,0.375,0.487,0.417,42,139,269,480,750,1,1,5
80894,70024,NA,3,3,2,0.336,0.409,0.361,36,143,278,400,560,1,1,4
80895,70024,NA,3,3,3,0.307,0.421,0.356,32,144,257,460,660,1,1,5
80897,70043,NA,3,3,1,0.362,0.474,0.388,32,143,247,390,650,1,0,2
80898,70043,NA,3,3,2,0.344,0.426,0.355,42,140,225,340,580,0,1,4
80901,70034,NA,3,3,1,0.333,0.425,0.351,50,175,311,490,690,0,0,1
80904,70034,NA,3,3,4,0.366,0.422,0.384,28,100,206,360,580,0,0,2
80908,70038,NA,3,3,4,0.354,0.429,0.384,37,136,270,490,720,1,1,5
80909,70032,NA,3,3,1,0.342,0.436,0.36,30,115,222,430,680,0,1,2
80911,70032,NA,3,3,3,0.345,0.425,0.367,38,144,279,470,670,0,0,5
80913,70011,NA,3,4,1,0.383,0.484,0.406,34,123,204,380,630,1,0,5
80915,70011,NA,3,4,3,0.353,0.511,0.367,37,148,238,430,640,1,1,5
80916,70011,NA,3,4,4,0.34,0.452,0.356,34,204,332,530,800,0,0,0
80921,70055,NA,3,4,1,0.381,0.464,0.412,41,147,219,450,680,1,0,2
80922,70055,NA,3,4,2,0.32,0.468,0.371,55,240,413,570,820,1,0,2
80924,70055,NA,3,4,4,0.367,0.446,0.394,43,176,304,470,700,1,0,0
80929,70032,NA,3,4,1,0.36,0.438,0.384,24,128,224,390,600,0,0,5
80930,70032,NA,3,4,2,0.355,0.451,0.394,27,141,254,500,720,0,0,3
80932,70032,NA,3,4,4,0.371,0.474,0.41,22,97,182,340,510,0,0,0
80933,70061,NA,3,4,1,0.36,0.443,0.389,53,177,273,470,660,0,1,5
80935,70061,NA,3,4,3,0.363,0.451,0.399,40,140,260,410,580,1,0,0
80937,70003,NA,3,4,1,0.376,0.461,0.404,37,155,267,530,670,1,1,2
80945,70024,NA,3,4,1,0.362,0.439,0.404,49,163,272,500,680,1,1,1
80947,70024,NA,3,4,3,0.364,0.445,0.391,36,135,251,460,570,0,1,0
80948,70024,NA,3,4,4,0.388,0.479,0.419,37,120,273,420,570,0,0,1
80951,70009,NA,3,4,3,0.375,0.502,0.416,44,115,242,400,530,0,0,5
80952,70009,NA,3,4,4,0.345,0.443,0.383,31,132,265,440,630,0,0,0
80953,70017,NA,3,4,1,0.37,0.453,0.402,37,120,255,480,630,0,0,5
80954,70017,NA,3,4,2,0.368,0.553,0.391,30,113,177,330,490,1,1,0
80955,70017,NA,3,4,3,0.379,0.45,0.402,33,133,244,460,590,0,0,5
80957,70059,NA,3,4,1,0.339,0.389,0.358,40,114,214,410,610,0,1,1
80961,70061,NA,3,5,1,0.374,0.433,0.39,36,96,170,280,440,1,1,0
80962,70061,NA,3,5,2,0.349,0.394,0.358,32,125,203,300,470,1,0,3
80963,70061,NA,3,5,3,0.332,0.424,0.349,30,75,158,280,430,1,1,4
80965,70010,NA,3,5,1,0.32,0.466,0.334,30,110,198,320,490,0,0,0
80967,70010,NA,3,5,3,0.364,0.439,0.381,27,65,152,260,420,1,1,4
80968,70010,NA,3,5,4,0.348,0.432,0.374,30,110,208,370,530,1,1,5
80969,70031,NA,3,5,1,0.333,0.391,0.343,32,135,291,450,610,1,0,4
80971,70031,NA,3,5,3,0.357,0.41,0.364,34,186,384,510,630,0,1,1
80973,70059,NA,3,5,1,0.345,0.414,0.361,33,135,207,370,620,0,1,5
80974,70059,NA,3,5,2,0.361,0.469,0.377,34,118,197,380,600,0,0,5
80976,70059,NA,3,5,4,0.343,0.425,0.352,43,108,260,400,570,1,1,1
80977,70034,NA,3,5,1,0.353,NA,0.353,32,126,232,410,630,1,0,3
80980,70034,NA,3,5,4,0.367,0.433,0.388,29,138,266,380,580,1,1,0
80981,70043,NA,3,5,1,0.37,0.424,0.392,33,152,302,480,700,0,0,0
80983,70043,NA,3,5,3,0.402,0.466,0.419,42,175,284,410,560,0,1,1
80986,70029,NA,3,5,2,0.349,0.447,0.37,30,122,303,410,610,1,1,2
80991,70024,NA,3,5,3,0.379,0.456,0.403,27,112,204,360,530,1,0,2
80992,70024,NA,3,5,4,0.35,0.422,0.384,33,125,260,380,490,0,1,3
80997,70047,NA,3,5,1,0.347,0.427,0.366,27,110,210,280,450,0,0,2
80998,70047,NA,3,5,2,0.408,0.44,0.415,29,148,270,380,490,0,1,2
81001,70018,NA,3,5,1,0.411,0.434,0.415,38,138,275,380,510,0,0,3
81002,70018,NA,3,5,2,0.37,0.471,0.413,38,183,317,480,380,0,1,2
81003,70018,NA,3,5,3,0.347,0.446,0.375,31,116,253,390,520,0,0,2
81004,70018,NA,3,5,4,0.383,0.483,0.395,37,92,188,300,420,1,1,0
81005,70039,NA,3,5,1,0.342,0.454,0.356,38,175,257,480,350,0,0,2
81009,70012,NA,3,5,1,0.345,0.422,0.362,43,129,250,360,490,0,1,5
81010,70012,NA,3,5,2,0.351,0.46,0.38,25,77,213,330,470,1,0,4
81014,70025,NA,3,5,2,0.367,0.484,0.398,30,110,224,340,600,0,0,0
81015,70025,NA,3,5,3,0.359,0.473,0.373,31,154,271,460,590,1,0,1
81016,70025,NA,3,5,4,0.358,0.454,0.379,32,135,268,410,530,0,0,2
81017,70054,NA,3,5,1,0.392,0.487,0.422,34,122,208,350,520,0,0,2
81021,70021,NA,3,5,1,0.407,0.534,0.424,26,84,189,320,470,1,1,4
81022,70021,NA,3,5,2,0.391,0.544,0.438,29,111,213,340,560,1,0,0
81024,70021,NA,3,5,4,0.384,0.456,0.404,33,130,279,440,590,1,0,0
81029,70036,NA,3,5,1,0.338,0.427,0.368,44,180,266,480,700,1,0,0
81030,70036,NA,3,5,2,0.366,0.406,0.382,53,179,360,510,690,1,0,3
81031,70036,NA,3,5,3,0.376,0.35,0.366,39,133,252,430,620,1,0,3
81033,70035,NA,3,5,1,0.356,0.452,0.372,40,171,288,400,560,0,0,3
81034,70035,NA,3,5,2,0.345,0.427,0.372,39,176,298,440,630,1,1,4
81035,70035,NA,3,5,3,0.344,0.442,0.362,33,149,276,410,550,0,0,4
81039,70056,NA,3,5,3,0.396,0.426,0.407,29,185,360,540,740,1,1,0
81041,70008,NA,3,5,1,0.367,0.49,0.39,33,156,293,430,590,0,0,4
81042,70008,NA,3,5,2,0.332,0.436,0.367,32,155,307,490,700,1,1,0
81043,70008,NA,3,5,3,0.353,0.423,0.365,26,149,272,410,540,1,1,4
81045,70019,NA,3,5,1,0.406,0.503,0.435,42,190,327,500,670,0,0,5
81046,70019,NA,3,5,2,0.362,0.439,0.381,50,187,302,460,650,0,0,2
81047,70019,NA,3,5,3,0.386,0.501,0.402,28,116,232,320,540,0,1,2
81050,70037,NA,3,5,2,0.313,0.459,0.329,26,84,180,260,430,1,1,2
81051,70037,NA,3,5,3,0.365,0.432,0.375,23,93,161,270,400,1,0,4
81052,70037,NA,3,5,4,0.322,0.443,0.34,31,115,221,320,450,1,0,5
81053,70005,NA,3,5,1,0.367,0.418,0.387,24,98,162,310,440,0,1,5
81054,70005,NA,3,5,2,0.352,0.509,0.364,24,78,184,270,470,1,1,5
81055,70005,NA,3,5,3,0.355,0.392,0.37,34,112,227,320,570,1,0,5
81057,70028,NA,3,5,1,0.369,0.43,0.378,36,172,258,390,570,0,1,4
81060,70028,NA,3,5,4,0.357,0.481,0.406,42,97,216,380,520,1,0,1
81061,70006,NA,3,5,1,0.363,0.47,0.389,22,110,250,360,550,1,0,2
81062,70006,NA,3,5,2,0.318,0.405,0.337,12,83,196,320,490,0,0,5
81063,70006,NA,3,5,3,0.389,0.415,0.395,30,134,279,410,560,0,1,0
81064,70006,NA,3,5,4,0.326,0.399,0.348,30,148,267,400,630,0,0,2
81069,70016,NA,3,5,1,0.37,0.442,0.39,31,97,250,390,570,1,0,3
81070,70016,NA,3,5,2,0.375,0.475,0.391,29,90,196,360,530,0,0,4
81071,70016,NA,3,5,3,0.346,0.414,0.368,31,114,248,410,620,0,0,0
81075,70038,NA,3,5,3,0.327,0.399,0.35,23,111,222,360,530,0,0,3
81081,70040,NA,3,5,1,0.338,0.405,0.351,41,171,277,380,570,1,1,1
81082,70040,NA,3,5,2,0.355,0.465,0.367,31,132,219,340,520,1,0,2
81083,70040,NA,3,5,3,0.334,0.443,0.358,39,119,242,390,540,0,1,4
81085,70041,NA,3,5,1,0.376,0.478,0.39,26,117,226,300,420,1,1,3
81087,70041,NA,3,5,3,0.363,0.438,0.37,27,108,228,300,460,0,1,3
81089,70032,NA,3,5,1,0.354,0.413,0.376,46,110,225,360,580,0,0,0
81094,70050,NA,3,5,2,0.349,0.427,0.364,28,115,250,380,550,1,0,5
81099,70030,NA,3,5,3,0.338,0.465,0.369,33,110,233,360,570,1,1,0
81100,70030,NA,3,5,4,0.33,0.411,0.365,42,113,243,390,570,1,0,0
81105,70046,NA,3,5,1,0.338,0.367,0.352,31,113,232,380,580,0,0,4
81110,70027,NA,3,5,2,0.376,0.411,0.38,44,120,264,390,610,1,0,0
81112,70027,NA,3,5,4,0.35,0.395,0.368,39,155,276,420,510,1,1,2
81113,70060,NA,3,5,1,0.359,0.408,0.364,36,131,248,390,520,0,0,0
81114,70060,NA,3,5,2,0.34,0.412,0.373,36,143,293,430,710,0,0,0
81116,70060,NA,3,5,4,0.257,0.409,0.318,36,160,286,440,660,0,0,0
81118,70011,NA,3,5,2,0.355,0.422,0.365,44,158,241,390,660,1,1,1
81123,70045,NA,3,5,3,0.353,0.406,0.364,35,147,260,340,520,0,1,3
81124,70045,NA,3,5,4,0.321,0.389,0.336,32,140,258,330,530,1,0,4
81125,70004,NA,3,5,1,0.377,0.548,0.397,39,141,217,330,440,1,0,3
81128,70004,NA,3,5,4,0.368,0.4,0.379,38,153,274,390,530,1,0,3
81130,70023,NA,3,5,2,0.362,0.426,0.385,35,95,172,280,430,0,0,4
81131,70023,NA,3,5,3,0.355,0.409,0.366,36,118,208,330,510,0,0,5
81133,70002,NA,3,5,1,0.35,0.503,0.384,26,83,165,290,500,0,1,1
81134,70002,NA,3,5,2,0.34,0.481,0.367,30,131,232,390,500,1,0,2
81136,70002,NA,3,5,4,0.347,0.476,0.4,44,138,246,330,560,0,0,0
81137,70052,NA,3,5,1,0.341,0.451,0.354,42,125,202,340,500,0,1,0
81138,70052,NA,3,5,2,0.352,0.382,0.357,37,123,269,400,620,0,1,5
81139,70052,NA,3,5,3,0.337,0.419,0.369,47,111,253,410,600,1,0,2
81141,70057,NA,3,5,1,0.371,0.49,0.393,38,112,202,310,500,1,0,3
81146,70055,NA,3,5,2,0.385,NA,0.385,44,108,220,380,560,0,1,2
81148,70055,NA,3,5,4,0.371,0.477,0.403,54,136,250,380,580,0,0,2
81150,70009,NA,3,5,2,0.349,0.434,0.385,43,148,273,390,540,0,1,1
81152,70009,NA,3,5,4,0.364,0.702,0.435,32,125,226,360,540,1,1,1
81153,70048,NA,3,5,1,0.356,0.367,0.36,38,148,289,410,600,1,0,5
81155,70048,NA,3,5,3,0.339,0.405,0.351,32,149,314,430,620,1,0,0
81156,70048,NA,3,5,4,0.361,0.449,0.39,37,143,277,410,590,1,1,5
81162,70020,NA,3,5,2,0.343,0.422,0.357,25,75,157,260,430,1,1,0
81165,70033,NA,3,5,1,0.33,0.45,0.354,30,80,202,320,490,0,1,3
81167,70033,NA,3,5,3,0.379,0.472,0.394,31,80,160,290,460,1,0,1
81168,70033,NA,3,5,4,0.36,0.488,0.387,30,97,183,300,480,1,0,3
81169,70053,NA,3,5,1,0.399,0.521,0.426,40,80,198,280,430,0,1,2
81171,70053,NA,3,5,3,0.333,0.422,0.34,45,118,197,290,460,1,0,3
81172,70053,NA,3,5,4,0.35,0.46,0.374,45,127,225,330,520,0,0,4
81173,70001,NA,3,5,1,0.368,0.478,0.4,32,97,164,320,470,0,1,4
81174,70001,NA,3,5,2,0.33,0.457,0.355,36,108,226,320,450,1,1,0
81179,70044,NA,3,5,3,0.357,0.421,0.361,23,73,132,260,420,0,0,2
81180,70044,NA,3,5,4,0.383,0.406,0.392,40,84,162,250,410,1,0,2
